Table 7 - Staff Costs of each Institution by Activity 2001/02,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
UK Institutions,,,,,,,,,,,,,,,,,,,,£ Thousands,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Academic Staff Costs,,,,,Other Staff Costs,,,,,,,,,,,
,,,,Academic       depts,Academic              services,Admin &       central        services,Research              grants &                  contracts,Other expenditure,Total ,,Academic       depts,Academic              services,Admin &       central        services,Premises,Residences & catering ops,Research              grants &                  contracts,Other expenditure,Total ,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1,,Total UK,,3599386,43558,84759,898862,110464,4737029,,1085848,544908,875752,359110,263819,250706,244990,3625133,,1,,
,,,,,,,,,,,,,,,,,,,,,,
2,,Total England,,2932753,38703,74251,737097,87233,3870037,,886627,439834,717341,287213,214909,204019,189572,2939515,,2,,
127,,,"University of the West of England, Bristol",38019,759,1447,1641,3313,45179,,10597,4078,6189,3314,1456,246,1574,27454,,127
128,,,The University of Westminster,31704,0,0,1748,78,33530,,8354,2719,7982,1721,627,0,0,21403,,128
129,,,Wimbledon School of Art,1945,0,0,0,159,2104,,357,148,860,167,0,36,23,1591,,129
130,,,The University of Wolverhampton,26339,948,1265,599,1656,30807,,5169,3140,9180,4164,1630,434,808,24525,,130
131,,,University College Worcester,7166,50,672,255,0,8143,,794,973,1767,331,232,262,0,4359,,131
132,,,Writtle College,4557,0,491,0,61,5109,,780,408,1330,268,656,0,475,3917,,132
133,,,York St John College,6247,0,0,14,0,6261,,792,708,2316,1089,795,0,0,5700,,133
134,,,The University of York,26449,2163,2765,14866,643,46886,,5032,1195,2214,2520,4600,0,2645,18206,,134
,,,,,,,,,,,,,,,,,,,,
135,,Total Wales,,178326,1132,3287,33211,6103,222059,,46094,25554,43044,15497,14890,7711,15610,168400,,135
136,,,"University of Wales, Aberystwyth",13286,0,0,2651,1015,16952,,4642,2364,4212,1945,3047,1427,3238,20875,,136
137,,,"University of Wales, Bangor",18431,0,0,4227,0,22658,,4546,3350,4282,1911,1973,673,3994,20729,,137
138,,,Cardiff University,40501,165,143,13711,0,54520,,13766,6405,7594,3901,2862,1196,928,36652,,138
139,,,"University of Wales Institute, Cardiff",12839,124,329,99,63,13454,,3592,3033,4863,424,1166,614,546,14238,,139
